id,source,persuasiveness_count,persuasiveness_mean_raw,persuasiveness_mean_norm,strength_count,strength_mean_raw,strength_mean_norm,eloquence_count,eloquence_mean_raw,eloquence_mean_norm,relevance_count,relevance_mean_raw,relevance_mean_norm,specificity_count,specificity_mean_raw,specificity_mean_norm,evidence_count,evidence_mean_raw,evidence_mean_norm,logos_count,logos_rate,ethos_count,ethos_rate,pathos_count,pathos_rate,overall_quality_mean_raw,overall_quality_mean_norm,annotated_component_count
essay001,raw\essays.zip,11,3.272727,0.454545,4,4.25,0.65,11,2.545455,0.309091,9,5.777778,0.955556,11,2.636364,0.327273,11,1.909091,0.181818,7,0.714286,7,0.0,7,0.0,3.398569,0.479714,11
essay002,raw\essays.zip,14,3.642857,0.528571,6,4.666667,0.733333,14,3.5,0.5,12,5.083333,0.816667,14,3.571429,0.514286,14,2.0,0.2,8,0.5,8,0.0,8,0.625,3.744048,0.54881,14
essay003,raw\essays.zip,10,5.1,0.82,5,5.6,0.92,10,3.7,0.54,8,5.625,0.925,10,3.6,0.52,10,2.6,0.32,5,0.8,5,0.0,5,0.0,4.370833,0.674167,10
essay004,raw\essays.zip,11,4.181818,0.636364,5,4.8,0.76,11,3.454545,0.490909,9,5.222222,0.844444,11,3.363636,0.472727,11,2.636364,0.327273,6,0.833333,6,0.0,6,0.666667,3.943097,0.588619,11
essay005,raw\essays.zip,12,2.916667,0.383333,3,4.0,0.6,12,3.416667,0.483333,10,5.5,0.9,12,2.916667,0.383333,12,1.75,0.15,9,0.555556,9,0.0,9,0.333333,3.416667,0.483333,12
essay006,raw\essays.zip,19,2.684211,0.336842,11,2.545455,0.309091,19,3.105263,0.421053,17,4.588235,0.717647,19,2.105263,0.221053,19,1.789474,0.157895,8,0.625,8,0.0,8,0.0,2.802983,0.360597,19
essay007,raw\essays.zip,12,5.25,0.85,7,5.571429,0.914286,12,3.916667,0.583333,11,5.181818,0.836364,12,3.25,0.45,12,2.416667,0.283333,5,0.8,5,0.0,5,0.0,4.26443,0.652886,12
essay008,raw\essays.zip,13,2.923077,0.384615,5,3.4,0.48,13,3.692308,0.538462,11,5.181818,0.836364,13,2.615385,0.323077,13,1.769231,0.153846,8,0.5,8,0.0,8,0.0,3.263637,0.452727,13
essay009,raw\essays.zip,16,1.875,0.175,5,2.2,0.24,16,2.1875,0.2375,13,2.769231,0.353846,16,2.0,0.2,16,1.375,0.075,11,0.454545,11,0.0,11,0.454545,2.067788,0.213558,16
essay010,raw\essays.zip,17,2.882353,0.376471,9,3.222222,0.444444,17,3.0,0.4,15,3.866667,0.573333,17,2.882353,0.376471,17,1.470588,0.094118,8,1.0,8,0.0,8,0.5,2.887364,0.377473,17
